1,data/aligned-aug/Chris Evans Captain America/55.skynews-avengers-marvel_4169434translate_1.png
1,data/aligned-aug/Chris Evans Captain America/62.Chris%20Evans%20as%20Captain%20Americarotate_2.png
1,data/aligned-aug/Chris Evans Captain America/80.Caprotate_2.png
1,data/aligned-aug/Chris Evans Captain America/78.chris-evans-captain-america-avengers-infinity-war-thanos-spider-man-chris-evansrotate_1.png
1,data/aligned-aug/Chris Evans Captain America/43.Captain-America-Star-Chris-Evans-Discusses-Starting-a-Liberal-Political-Website-e1554152536330-620x435translate_1.png
1,data/aligned-aug/Chris Evans Captain America/5.Chris-Evans-Captain-America-Twitterchange_channel_3.png
1,data/aligned-aug/Chris Evans Captain America/55.skynews-avengers-marvel_4169434rotate_1.png
1,data/aligned-aug/Chris Evans Captain America/59.avengers-endgame-captain-americarotate_2.png
1,data/aligned-aug/Chris Evans Captain America/39.264b38e7-e0a0-4999-b011-46bfb73fc696-captain-america-970x545change_channel_3.png
1,data/aligned-aug/Chris Evans Captain America/10.1430497999-the-avengers-climax-captain-america-the-avengers-34726299-1920-1080change_channel_1.png
1,data/aligned-aug/Chris Evans Captain America/26.5578258-640_c235ed52-3c60-4fb2-a74e-8252347d0bed-xxx_chris_evans049_pdistort_0.02_10.png
1,data/aligned-aug/Chris Evans Captain America/23.the-princess-bride-chris-evans-captain-america-1188054-1280x0translate_2.png
1,data/aligned-aug/Chris Evans Captain America/35.captain-america-chris-evans-avengers-endgamedistort_0.04_10.png
1,data/aligned-aug/Chris Evans Captain America/78.chris-evans-captain-america-avengers-infinity-war-thanos-spider-man-chris-evanstranslate_1.png
1,data/aligned-aug/Chris Evans Captain America/69.rs-239344-chris-evanstranslate_1.png
1,data/aligned-aug/Chris Evans Captain America/45.Chris-Evans-Captain-AMerica-Avengers-Endgamedistort_0.04_5.png
1,data/aligned-aug/Chris Evans Captain America/29.avengers-end-game-chris-evans-captain-america-1-1552569157translate_4.png
